sweep,camera,fps,noise_px,radius_noise,dropout,tap_px,physics,i,speed_kmh,length_m,line_m,restitution_true,n_dets,truth,calib_reproj_px,estimator,ok,verdict,verdict_k0,verdict_k0.5,verdict_k1.5,verdict_k2,bounce_observed,y_err_cm,z_err_cm,sigma_y_cm,sigma_z_cm,contact_x_err_cm,contact_y_err_cm,speed_err_kmh,rms_px,restitution
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,241,78.5,3.39,0.117,0.581,51,not_out,2.28,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,7.4096,41.2397,193.3862,82.0936,87.8398,1.3737,58.7632,15.8775,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,242,116.0,6.48,-0.006,0.449,38,not_out,3.37,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.4983,4.1732,1.7687,3.6601,6.1486,1.0819,18.2669,0.9048,0.4103
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,242,116.0,6.48,-0.006,0.449,38,not_out,3.37,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,320.0176,21.0283,1067.5543,976.5198,2415.9555,1.3834,40.1132,12.4357,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,243,126.0,1.64,0.054,0.406,31,umpires_call,2.44,anchored,True,umpires_call,umpires_call,umpires_call,umpires_call,umpires_call,True,3.4558,5.0829,3.9249,6.5829,3.0964,1.3007,19.8979,1.3045,0.5206
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,243,126.0,1.64,0.054,0.406,31,umpires_call,2.44,parabola,True,umpires_call,out,out,umpires_call,umpires_call,False,15.3236,2.2052,8.8846,13.1207,119.2111,0.737,42.8277,3.9848,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,244,118.6,9.75,0.588,0.4,34,not_out,5.27,anchored,True,not_out,not_out,not_out,not_out,not_out,True,3.6962,5.1553,2.4792,2.0265,17.7228,0.3339,25.9978,0.977,0.37
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,244,118.6,9.75,0.588,0.4,34,not_out,5.27,parabola,True,not_out,not_out,not_out,umpires_call,umpires_call,False,170.54,55.5605,1.3304,1.2174,987.5158,101.6269,84.6668,1000.0,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,245,73.6,5.68,0.254,0.604,54,not_out,1.34,anchored,True,not_out,not_out,not_out,not_out,not_out,True,8.4988,10.8786,3.78,5.3102,2.2129,2.4559,6.9848,1.3292,0.542
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,245,73.6,5.68,0.254,0.604,54,not_out,1.34,parabola,False,no_verdict,no_verdict,no_verdict,no_verdict,no_verdict,,,,,,,,,,
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,246,118.2,1.85,-0.172,0.539,35,umpires_call,2.96,anchored,True,umpires_call,umpires_call,umpires_call,umpires_call,umpires_call,True,3.3227,4.692,1.2888,7.1,2.0747,2.2271,19.466,1.2103,0.6124
